Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.024,0.72,124586,Low,Algeria,25,,40823,1.37E+11,0.046,174,451,0.024,0.112,0.08,72,69,0.9,0.272,0.681,0.047,36383302,0.668,Africa,381000000,574000000,12/1/2009
0.047,0.521,27836,Low,Angola,68,,12586,75492417649,0.044,174,272,0.112,0.06,0.157,52,49,0.428,0.479,0.497,0.024,18926650,0.393,Africa,554000000,270000000,12/1/2009
0.038,0.732,4756,Low,Benin,31,,3439,6585134688,0.044,32,270,0.064,0.022,,60,57,0.545,0.436,0.535,0.029,9240783,0.415,Africa,131000000,88000000,12/1/2009
0.025,0.17,4397,Friendly,Botswana,60,,2023,10106837286,0.061,318,140,0.041,0.062,0.138,46,47,0.96,0.345,0.621,0.034,1951715,0.56,Africa,53000000,80000000,12/1/2009
0.043,0.449,1665,Low,Burkina Faso,14,,,8348156389,0.073,41,270,0.073,0.011,,55,54,0.253,0.461,0.514,0.025,15094967,0.248,Africa,99000000,111000000,12/1/2009
0.045,2.797,180,Low,Burundi,13,,,1739781536,0.07,14,140,0.063,0.009,0.141,54,51,0.103,0.44,0.535,0.026,8926687,0.104,Africa,1700000,71000000,12/1/2009
0.039,0.488,6674,Low,Cameroon,35,,6914,22165009363,0.051,56,654,0.069,0.038,,54,52,0.398,0.436,0.532,0.033,20103945,0.509,Africa,271000000,476000000,12/1/2009
0.035,2.038,235,Low,Central African Republic,23,,,1981728179,0.036,17,504,0.105,0.018,,49,46,0.202,0.409,0.552,0.039,4266247,0.386,Africa,6000000,61000000,12/1/2009
0.048,0.713,444,Low,Chad,64,,,9253484290,0.045,28,732,0.095,0.015,,50,49,0.201,0.49,0.485,0.025,11371325,0.219,Africa,,,12/1/2009
0.038,2.179,125,Low,Comoros,22,,,535199686,0.038,31,100,0.065,0.035,0.105,61,59,0.184,0.421,0.549,0.029,666097,0.279,Africa,32000000,17000000,12/1/2009
0.044,2.927,2721,Low,"Congo (Kinshasa)",127,,22925,18262773766,0.091,17,308,0.095,0.006,0.654,50,47,0.156,0.456,0.515,0.028,60486276,0.394,Africa,24000000,121000000,12/1/2009
0.039,0.659,1885,Low,"Congo (Brazzaville)",161,,1416,9593536719,0.023,54,606,0.045,0.045,,58,55,0.738,0.422,0.544,0.034,3995146,0.628,Africa,,,12/1/2009
0.036,0.444,5856,Low,Côte d'Ivoire,40,,9489,23041633638,0.068,84,270,0.079,0.02,,50,48,0.709,0.42,0.55,0.031,18601342,0.498,Africa,164000000,589000000,12/1/2009
0.029,0.378,532,Low,Djibouti,37,,,1198997305,0.083,100,66,0.064,0.04,0.111,61,58,0.157,0.345,0.618,0.036,821865,0.769,Africa,16000000,17500000,12/1/2009
0.024,0.43,197871,Moderate,"Egypt",8,,71465,1.89E+11,0.05,118,480,0.021,0.257,0.12,73,68,0.721,0.316,0.629,0.055,76775023,0.43,Africa,11757000000,2941000000,12/1/2009
0.037,0.441,4620,Low,Equatorial Guinea,135,,,9380412630,0.056,861,492,0.078,0.021,,52,50,0.295,0.395,0.575,0.03,676851,0.391,Africa,,,12/1/2009
0.039,0.845,513,Low,Eritrea,84,,726,1856695550,0.031,10,216,0.041,0.005,,63,58,0.025,0.43,0.549,0.021,5557889,0.202,Africa,26000000,,12/1/2009
0.035,0.303,6659,Moderate,Ethiopia,15,,32378,31843357840,0.045,15,198,0.054,0.005,,62,59,0.048,0.449,0.518,0.033,84838032,0.169,Africa,1119000000,139000000,12/1/2009
0.033,0.447,81,Low,Gabon,57,,1925,12031268402,0.037,291,488,0.045,0.067,,63,61,0.954,0.388,0.559,0.054,1519155,0.853,Africa,,,12/1/2009
0.043,2.921,436,Low,"Gambia",27,,,900629373,0.045,25,376,0.053,0.076,0.27,59,57,0.806,0.46,0.515,0.025,1628332,0.556,Africa,64000000,9000000,12/1/2009
0.033,0.325,7444,Friendly,Ghana,12,,9320,25978563316,0.051,56,224,0.056,0.054,,61,59,0.638,0.392,0.573,0.035,23691533,0.5,Africa,849000000,948000000,12/1/2009
0.039,0.807,1228,Low,Guinea,40,,,4609923720,0.063,28,416,0.074,0.009,,56,54,0.329,0.43,0.538,0.032,10593248,0.344,Africa,4900000,28000000,12/1/2009
0.039,0.459,235,Low,Guinea-Bissau,216,,,832530157,0.068,36,208,0.087,0.023,,55,52,0.361,0.421,0.55,0.03,1550905,0.443,Africa,12000000,26000000,12/1/2009
0.037,0.493,12350,Moderate,Kenya,34,,18897,30716343757,0.046,36,417,0.054,0.1,0.148,60,57,0.486,0.426,0.548,0.026,39824734,0.232,Africa,1124000000,227000000,12/1/2009
0.028,0.199,26,Moderate,Lesotho,40,,,1708772782,0.098,84,324,0.08,0.037,0.13,47,46,0.332,0.381,0.576,0.043,1989873,0.243,Africa,30000000,247000000,12/1/2009
