Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.021,0.769,107128,Low,Algeria,25,,32335,1.03E+11,0.031,95,451,0.029,0.058,0.08,71,68,0.402,0.289,0.667,0.044,33960903,0.638,Africa,477000000,660000000,12/1/2005
0.049,0.521,19156,Low,Angola,119,,9356,28233699240,0.042,71,272,0.122,0.011,0.677,50,47,0.097,0.478,0.498,0.025,16544376,0.362,Africa,103000000,135000000,12/1/2005
0.04,0.757,2398,Low,Benin,31,,2499,4358015993,0.047,25,270,0.075,0.013,,59,56,0.073,0.445,0.527,0.028,8182362,0.4,Africa,108000000,58000000,12/1/2005
0.025,0.171,4613,Friendly,Botswana,107,,1929,9931223496,0.056,298,140,0.043,0.033,0.157,47,46,0.301,0.358,0.61,0.032,1875805,0.551,Africa,563000000,301000000,12/1/2005
0.045,0.475,1126,Low,Burkina Faso,40,,,5462709055,0.069,28,270,0.086,0.005,,53,52,0.047,0.465,0.509,0.026,13421929,0.215,Africa,46000000,74000000,12/1/2005
0.044,2.797,154,Low,Burundi,13,,,1117254387,0.101,14,140,0.075,0.005,0.184,51,49,0.02,0.454,0.519,0.027,7770392,0.094,Africa,1900000,62000000,12/1/2005
0.04,0.506,3696,Low,Cameroon,45,,6981,16587921221,0.049,45,654,0.078,0.014,0.177,53,51,0.124,0.443,0.524,0.033,18137734,0.485,Africa,229000000,480000000,12/1/2005
0.037,0.657,213,Low,Central African Republic,22,,,1350300947,0.044,15,504,0.111,0.003,0.177,47,43,0.025,0.419,0.542,0.04,3960897,0.381,Africa,7200000,46000000,12/1/2005
0.05,0.74,400,Low,Chad,64,,,6646663021,0.047,25,732,0.101,0.004,0.177,48,47,0.021,0.492,0.481,0.027,10014413,0.218,Africa,,,12/1/2005
0.039,2.179,110,Low,Comoros,24,,37,387036132,0.043,28,100,0.07,0.02,0.11,60,58,0.026,0.415,0.555,0.03,600733,0.279,Africa,24000000,10000000,12/1/2005
0.046,2.865,2226,Low,"Congo (Kinshasa)",133,,19971,11964484458,0.053,7,308,0.105,0.002,,49,46,0.051,0.462,0.51,0.028,54028003,0.375,Africa,3200000,54000000,12/1/2005
0.039,0.649,1456,Low,"Congo (Brazzaville)",37,,1083,6087002682,0.024,42,606,0.062,0.015,0.177,55,53,0.158,0.422,0.543,0.035,3542867,0.61,Africa,40000000,112000000,12/1/2005
0.037,0.473,7825,Low,Côte d'Ivoire,45,,9634,16363437145,0.057,53,270,0.089,0.01,,48,46,0.135,0.423,0.547,0.03,17393994,0.468,Africa,93000000,549000000,12/1/2005
0.029,0.378,473,Low,Djibouti,37,,139,708633195,0.072,63,66,0.071,0.01,0.112,59,57,0.057,0.373,0.594,0.034,776585,0.768,Africa,7100000,14400000,12/1/2005
0.024,0.543,167208,Moderate,"Egypt",22,,62741,89685724889,0.051,64,504,0.026,0.128,0.131,72,67,0.19,0.325,0.62,0.055,71777678,0.43,Africa,7206000000,1932000000,12/1/2005
0.038,0.441,4712,Low,Equatorial Guinea,137,,1249,6915849240,0.016,220,492,0.087,0.011,0.177,50,48,0.161,0.406,0.561,0.032,603648,0.389,Africa,,,12/1/2005
0.04,0.845,766,Low,Eritrea,76,,763,1098425900,0.028,6,216,0.047,,,61,56,0.008,0.435,0.545,0.02,4854066,0.189,Africa,66000000,,12/1/2005
0.039,0.303,5053,Moderate,Ethiopia,34,,28935,12173919387,0.041,7,212,0.07,0.002,0.07,58,56,0.005,0.462,0.507,0.031,76167240,0.157,Africa,533000000,77000000,12/1/2005
0.033,0.451,2087,Low,Gabon,57,,1718,8665736618,0.03,187,488,0.05,0.049,0.177,61,59,0.534,0.395,0.549,0.056,1379465,0.834,Africa,13000000,346000000,12/1/2005
0.044,2.86,323,Low,"Gambia",27,,108,624173996,0.045,20,376,0.057,0.038,0.349,58,56,0.172,0.46,0.515,0.025,1436549,0.523,Africa,59000000,7000000,12/1/2005
0.034,0.398,6956,Friendly,Ghana,18,,8229,10731883141,0.07,35,304,0.058,0.018,,60,58,0.134,0.402,0.564,0.034,21384034,0.473,Africa,867000000,472000000,12/1/2005
0.04,0.807,1181,Low,Guinea,40,,,2937072009,0.053,16,416,0.085,0.005,,53,52,0.02,0.436,0.531,0.032,9576331,0.328,Africa,,38000000,12/1/2005
0.04,0.542,213,Low,Guinea-Bissau,259,,87,572853554,0.057,24,208,0.096,0.019,,53,51,0.07,0.429,0.542,0.029,1421515,0.409,Africa,1600000,18900000,12/1/2005
0.039,0.498,8562,Moderate,Kenya,54,,16151,18737895401,0.044,23,372,0.061,0.031,0.129,56,54,0.129,0.428,0.545,0.027,35785718,0.217,Africa,969000000,124000000,12/1/2005
0.029,0.288,,Moderate,Lesotho,93,,33,1368405301,0.063,45,564,0.085,0.026,0.117,44,44,0.13,0.397,0.557,0.046,1925844,0.222,Africa,27000000,271000000,12/1/2005
0.04,,741,Low,Liberia,,,,542000000,0.08,13,,0.083,,0.17,56,54,0.049,0.433,0.537,0.03,3269786,0.461,Africa,67000000,33000000,12/1/2005
0.023,,52108,Low,Libya,,,17670,44000000000,0.026,213,,0.02,0.039,0.061,75,72,0.357,0.306,0.651,0.043,5594450,0.769,Africa,301000000,920000000,12/1/2005
