Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.023,0.742,112339,Low,Algeria,25,,36793,1.35E+11,0.035,135,451,0.026,0.095,0.08,72,69,0.785,0.277,0.677,0.046,35097043,0.653,Africa,332000000,504000000,12/1/2007
0.048,0.521,25152,Low,Angola,119,,10697,60448890972,0.034,115,272,0.117,0.032,0.177,51,48,0.28,0.479,0.497,0.024,17712824,0.377,Africa,236000000,473000000,12/1/2007
0.039,0.732,4499,Low,Benin,31,,3206,5506275948,0.045,29,270,0.069,0.018,,59,57,0.236,0.441,0.531,0.028,8707490,0.407,Africa,206000000,107000000,12/1/2007
0.025,0.171,4701,Friendly,Botswana,107,,2033,10939028155,0.047,269,140,0.043,0.053,0.162,46,46,0.601,0.351,0.616,0.033,1915187,0.555,Africa,548000000,284000000,12/1/2007
0.044,0.476,1646,Low,Burkina Faso,18,,,6755823933,0.077,32,270,0.079,0.008,,54,53,0.131,0.463,0.511,0.025,14235075,0.232,Africa,61000000,93000000,12/1/2007
0.044,2.797,191,Low,Burundi,13,,,1356078300,0.1,16,140,0.069,0.007,0.168,53,50,0.032,0.445,0.529,0.026,8328312,0.099,Africa,2300000,106000000,12/1/2007
0.04,0.508,5834,Low,Cameroon,38,,6340,20431779034,0.047,50,654,0.073,0.029,0.15,53,52,0.238,0.439,0.528,0.033,19097676,0.497,Africa,254000000,466000000,12/1/2007
0.036,2.038,235,Low,Central African Republic,22,,,1698125680,0.043,18,504,0.108,0.004,0.15,48,45,0.083,0.415,0.546,0.039,4106897,0.383,Africa,10800000,54000000,12/1/2007
0.049,0.74,462,Low,Chad,64,,,8638711757,0.042,27,732,0.099,0.008,0.15,49,48,0.086,0.492,0.482,0.026,10694366,0.219,Africa,,,12/1/2007
0.039,2.179,121,Low,Comoros,22,,41,464948879,0.049,36,100,0.068,0.025,0.105,61,58,0.098,0.418,0.552,0.03,632736,0.279,Africa,30000000,15000000,12/1/2007
0.045,2.881,2604,Low,"Congo (Kinshasa)",133,,21459,16364027647,0.059,10,308,0.1,0.004,0.47,50,47,0.115,0.46,0.512,0.028,57187942,0.384,Africa,700000,109000000,12/1/2007
0.039,0.649,1437,Low,"Congo (Brazzaville)",37,,1209,8394688589,0.025,57,606,0.053,0.028,0.15,57,54,0.343,0.422,0.543,0.035,3758858,0.619,Africa,54000000,168000000,12/1/2007
0.036,0.446,6883,Low,Côte d'Ivoire,40,,10233,19795705245,0.066,72,270,0.084,0.018,,49,47,0.416,0.422,0.548,0.03,17949061,0.483,Africa,115000000,606000000,12/1/2007
0.029,0.378,488,Low,Djibouti,37,,143,847918929,0.077,78,66,0.067,0.016,0.112,60,57,0.087,0.357,0.608,0.035,798690,0.769,Africa,6800000,14200000,12/1/2007
0.024,0.451,192382,Moderate,"Egypt",10,,71189,1.30E+11,0.049,85,711,0.023,0.16,0.125,72,68,0.405,0.319,0.626,0.054,74229577,0.431,Africa,10327000000,2886000000,12/1/2007
0.038,0.441,4796,Low,Equatorial Guinea,135,,1759,10197937673,0.024,380,492,0.082,0.016,0.15,51,49,0.235,0.4,0.569,0.031,639618,0.39,Africa,,,12/1/2007
0.04,0.845,579,Low,Eritrea,84,,721,1317974493,0.033,8,216,0.044,0.004,,62,57,0.016,0.431,0.549,0.02,5209846,0.195,Africa,61000000,,12/1/2007
0.037,0.303,5915,Moderate,Ethiopia,18,,30536,19346646117,0.048,11,198,0.061,0.004,0.075,60,58,0.015,0.457,0.511,0.032,80440708,0.161,Africa,790000000,107000000,12/1/2007
0.033,0.447,2332,Low,Gabon,57,,1832,11570860872,0.033,262,488,0.048,0.058,0.15,62,60,0.808,0.391,0.554,0.055,1447388,0.844,Africa,,,12/1/2007
0.044,2.921,396,Low,"Gambia",32,,133,798869805,0.041,21,376,0.055,0.062,0.279,59,56,0.523,0.46,0.514,0.025,1529406,0.54,Africa,87000000,8000000,12/1/2007
0.033,0.327,9578,Friendly,Ghana,15,,9064,24757608488,0.06,66,304,0.057,0.039,,61,59,0.338,0.397,0.568,0.035,22525659,0.487,Africa,990000000,816000000,12/1/2007
0.039,0.807,1210,Low,Guinea,40,,,4134173271,0.063,26,416,0.079,0.008,,55,53,0.199,0.433,0.534,0.032,10046967,0.336,Africa,1100000,96000000,12/1/2007
0.04,0.459,231,Low,Guinea-Bissau,259,,95,690721769,0.061,29,208,0.091,0.022,,54,52,0.2,0.425,0.546,0.029,1484337,0.426,Africa,28400000,40700000,12/1/2007
