Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.025,0.72,,Low,Algeria,25,,41852,1.99E+11,0.044,233,451,0.023,0.14,0.08,72,69,0.943,0.272,0.681,0.047,37762962,0.682,Africa,300000000,571000000,12/1/2011
0.046,0.521,,Low,Angola,66,,13576,1.04E+11,0.034,178,282,0.107,0.148,0.188,53,50,0.53,0.477,0.499,0.024,20180490,0.409,Africa,653000000,323000000,12/1/2011
0.037,0.659,,Low,Benin,29,,3761,7294900431,0.045,34,270,0.06,0.041,,60,58,0.794,0.432,0.539,0.029,9779795,0.423,Africa,188000000,,12/1/2011
0.024,0.195,,Friendly,Botswana,60,,2215,15292424757,0.052,404,152,0.039,0.08,0.11,46,47,1.46,0.34,0.625,0.035,1986701,0.565,Africa,36000000,82000000,12/1/2011
0.042,0.435,,Low,Burkina Faso,13,,,10395757480,0.064,39,270,0.068,0.03,,56,55,0.48,0.458,0.517,0.025,15995313,0.265,Africa,,,12/1/2011
0.045,0.516,,Low,Burundi,13,,,2355652064,0.09,21,274,0.059,0.011,0.132,55,51,0.201,0.44,0.535,0.025,9540362,0.109,Africa,3700000,49000000,12/1/2011
0.038,0.488,,Low,Cameroon,15,,6720,25486923059,0.054,64,654,0.064,0.05,,55,53,0.496,0.432,0.535,0.032,21156272,0.521,Africa,423000000,622000000,12/1/2011
0.035,0.546,,Low,Central African Republic,22,,,2195599491,0.039,19,504,0.1,0.022,,51,47,0.224,0.404,0.558,0.039,4436217,0.39,Africa,,,12/1/2011
0.047,0.758,,Low,Chad,55,,,12156380062,0.028,25,732,0.092,0.019,,51,49,0.303,0.487,0.488,0.025,12080037,0.22,Africa,,,12/1/2011
0.036,2.179,,Low,Comoros,22,,,610372697,0.036,31,100,0.061,0.055,0.105,62,59,0.309,0.422,0.549,0.029,700216,0.28,Africa,42000000,20000000,12/1/2011
0.044,3.391,,Low,"Congo (Kinshasa)",65,,24497,23831631365,0.061,15,336,0.09,0.012,0.438,51,48,0.245,0.453,0.519,0.028,63931512,0.404,Africa,11400000,298000000,12/1/2011
0.038,0.653,,Low,"Congo (Brazzaville)",161,,1659,14425606793,0.025,85,606,0.039,0.056,,59,56,0.919,0.423,0.543,0.034,4225359,0.637,Africa,,,12/1/2011
0.037,0.44,,Low,Côte d'Ivoire,32,,11233,24074553674,0.068,84,270,0.075,0.022,,51,49,0.894,0.417,0.552,0.031,19389954,0.513,Africa,,,12/1/2011
0.028,0.378,,Low,Djibouti,37,,,1239144502,0.087,119,82,0.061,0.07,0.106,62,59,0.228,0.339,0.623,0.038,846646,0.771,Africa,19200000,33500000,12/1/2011
0.024,0.436,,Moderate,"Egypt",8,,77649,2.36E+11,0.049,137,433,0.019,0.398,0.11,73,68,1.051,0.314,0.631,0.056,79392466,0.43,Africa,9333000000,2575000000,12/1/2011
0.036,0.441,,Low,Equatorial Guinea,135,,,15715842151,0.045,1051,492,0.073,0.115,,54,51,0.669,0.391,0.58,0.029,715996,0.393,Africa,,,12/1/2011
0.038,0.845,,Low,Eritrea,84,,765,2607739837,0.027,12,216,0.038,0.007,,64,59,0.041,0.431,0.548,0.022,5932852,0.21,Africa,,,12/1/2011
0.034,0.303,,Moderate,Ethiopia,15,,34064,31367606700,0.041,14,198,0.048,0.011,,64,61,0.158,0.439,0.528,0.033,89393063,0.177,Africa,1998000000,170000000,12/1/2011
0.032,0.435,,Low,Gabon,57,,1997,18796191833,0.034,401,488,0.042,0.08,,64,62,1.487,0.385,0.562,0.053,1594034,0.86,Africa,,,12/1/2011
0.043,2.832,,Low,"Gambia",27,,,898282866,0.047,24,376,0.051,0.109,0.28,60,57,0.808,0.459,0.516,0.025,1734966,0.57,Africa,92000000,11000000,12/1/2011
0.032,0.334,,Friendly,Ghana,12,,10550,39564970070,0.053,83,224,0.054,0.141,,62,60,0.853,0.388,0.577,0.035,24820706,0.514,Africa,797000000,1026000000,12/1/2011
0.038,0.912,,Low,Guinea,40,,,5067360041,0.06,27,416,0.069,0.013,,56,55,0.435,0.427,0.542,0.031,11161530,0.353,Africa,2100000,49000000,12/1/2011
0.038,0.459,,Low,Guinea-Bissau,9,,,967762549,0.063,35,208,0.082,0.027,,55,52,0.451,0.417,0.553,0.029,1624228,0.461,Africa,,,12/1/2011
0.036,0.493,,Moderate,Kenya,33,,20179,34313315840,0.044,35,393,0.05,0.28,0.15,62,59,0.668,0.425,0.549,0.026,42027891,0.24,Africa,1844000000,197000000,12/1/2011
0.028,0.16,,Moderate,Lesotho,40,,,2487352968,0.117,146,324,0.073,0.042,0.104,48,48,0.607,0.372,0.586,0.042,2029516,0.253,Africa,29000000,300000000,12/1/2011
0.037,0.429,,Low,Liberia,6,,,1537753885,0.156,59,158,0.058,0.03,0.138,61,59,0.498,0.432,0.537,0.031,4079697,0.482,Africa,232000000,132000000,12/1/2011
0.022,,,Low,Libya,,,13342,34699395524,0.039,211,,0.014,0.14,0.06,77,73,1.638,0.294,0.659,0.046,6103233,0.778,Africa,,,12/1/2011
0.035,0.371,,Moderate,Madagascar,8,,,9853981624,0.041,19,201,0.042,0.019,0.525,65,62,0.4,0.431,0.541,0.028,21678934,0.326,Africa,,,12/1/2011
0.04,0.29,,Low,Malawi,39,,,5627898037,0.083,30,157,0.049,0.033,0.238,54,54,0.256,0.456,0.512,0.031,15457531,0.157,Africa,39000000,97000000,12/1/2011
0.048,0.511,,Low,Mali,8,,,10647545670,0.068,51,270,0.081,0.02,,54,54,0.751,0.47,0.502,0.029,14416737,0.368,Africa,274000000,224000000,12/1/2011
0.035,0.682,,Low,Mauritania,19,,,4136083856,0.059,51,696,0.069,0.045,0.17,63,60,0.895,0.404,0.565,0.031,3702763,0.573,Africa,,,12/1/2011
0.011,0.277,,Very Friendly,Mauritius,6,,,11252405860,0.049,450,161,0.013,0.35,0.089,77,70,1.048,0.206,0.713,0.08,1286051,0.404,Africa,1808000000,427000000,12/1/2011
0.022,0.496,,Friendly,Morocco,12,,17283,99211339029,0.063,195,238,0.028,0.461,,72,69,1.14,0.279,0.671,0.05,32059424,0.582,Africa,9101000000,2260000000,12/1/2011
0.04,0.375,,Moderate,Mozambique,13,,10202,12547888400,0.064,33,230,0.068,0.043,0.191,50,49,0.32,0.454,0.514,0.032,24581367,0.312,Africa,266000000,256000000,12/1/2011
0.027,0.218,,Friendly,Namibia,66,,1589,12451760766,0.086,486,339,0.036,0.12,0.087,66,61,0.99,0.371,0.594,0.035,2217618,0.426,Africa,645000000,207000000,12/1/2011
0.05,0.438,,Low,Niger,17,,,6411842066,0.068,25,270,0.064,0.013,,58,57,0.287,0.499,0.475,0.026,16511462,0.178,Africa,86000000,,12/1/2011
0.042,0.327,,Moderate,Nigeria,28,,118325,4.12E+11,0.057,85,938,0.079,0.284,0.16,52,51,0.58,0.441,0.531,0.027,164192925,0.444,Africa,688000000,9534000000,12/1/2011
0.036,0.31,,Friendly,Rwanda,3,,,6406727020,0.11,62,148,0.041,0.07,,65,61,0.399,0.442,0.535,0.023,11144315,0.249,Africa,298000000,147000000,12/1/2011
0.036,0.325,,Low,Sao Tome and Principe,10,,,248286778,0.076,108,424,0.039,0.202,0.27,68,64,0.628,0.416,0.549,0.035,183177,0.626,Africa,15900000,1400000,12/1/2011
0.038,0.455,,Low,Senegal,6,,3515,14440676498,0.05,54,666,0.046,0.175,,65,62,0.702,0.436,0.534,0.031,13330737,0.425,Africa,,,12/1/2011
0.019,0.322,,Friendly,Seychelles,39,,,1059593023,0.036,413,76,0.012,0.432,0.112,78,68,1.379,0.222,0.702,0.076,87441,0.526,Africa,31000000,5000000,12/1/2011
0.038,0.324,,Moderate,Sierra Leone,12,,,2932273988,0.163,82,357,0.112,0.009,0.21,45,45,0.364,0.42,0.554,0.026,5865491,0.386,Africa,44000000,29000000,12/1/2011
0.045,,,Not Clustered,Somalia,,,,,,,,0.095,0.013,,56,53,0.182,0.475,0.496,0.028,9907903,0.377,Africa,,,12/1/2011
0.021,0.324,,Very Friendly,South Africa,19,,141372,4.04E+11,0.087,670,200,0.034,0.34,0.09,57,53,1.232,0.296,0.651,0.053,51579599,0.627,Africa,10707000000,8397000000,12/1/2011
0.037,,,Low,South Sudan,,,,20782116982,0.017,32,,0.068,,,55,53,0.173,0.426,0.54,0.034,10381110,0.18,Africa,,,12/1/2011
0.034,0.361,,Moderate,Sudan,36,,16622,67320812663,0.067,119,180,0.054,0.173,,63,60,0.688,0.418,0.551,0.032,36430923,0.332,Africa,185000000,937000000,12/1/2011
0.031,0.365,,Moderate,eSwatini,56,,,4145772237,0.083,270,104,0.058,0.181,0.09,48,49,0.632,0.384,0.582,0.034,1212159,0.214,Africa,,,12/1/2011
0.04,0.449,,Moderate,Tanzania,26,,20747,23874165047,0.074,38,172,0.039,0.035,0.15,61,59,0.554,0.449,0.52,0.031,46354607,0.288,Africa,1383000000,928000000,12/1/2011
0.037,0.489,,Low,Togo,84,,2764,3756023048,0.08,43,270,0.059,0.035,,57,55,0.416,0.42,0.553,0.027,6472304,0.38,Africa,,,12/1/2011
0.019,0.624,,Very Friendly,Tunisia,11,,9504,45951129422,0.07,304,144,0.014,0.391,,77,73,1.152,0.233,0.697,0.07,10673800,0.661,Africa,2529000000,678000000,12/1/2011
0.044,0.35,,Moderate,Uganda,33,,,15493320082,0.093,41,213,0.049,0.13,0.218,59,57,0.475,0.487,0.489,0.024,35148064,0.148,Africa,967000000,528000000,12/1/2011
0.043,0.144,,Friendly,Zambia,18,,8462,19201691493,0.062,87,183,0.059,0.115,0.188,57,54,0.599,0.468,0.505,0.026,13633796,0.392,Africa,146000000,140000000,12/1/2011
0.032,0.343,,Low,Zimbabwe,90,,9312,10956226611,,,242,0.058,0.157,,56,55,0.689,0.408,0.552,0.04,13358738,0.33,Africa,664000000,,12/1/2011
0.037,0.363,,Low,Afghanistan,7,,,17870159082,0.084,48,275,0.074,0.05,0.151,61,59,0.603,0.481,0.497,0.022,29105480,0.251,Asia,137000000,127000000,12/1/2011
