Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.02,,87931,Low,Algeria,,,26998,54790058957,0.035,60,,0.034,0.005,0.1,71,67,0.003,0.342,0.619,0.039,31719449,0.599,Africa,102000000,193000000,12/1/2000
0.05,,9542,Low,Angola,,,7499,9129594819,0.034,22,,0.128,0.001,1.032,47,44,0.002,0.476,0.499,0.025,13924930,0.324,Africa,34000000,146000000,12/1/2000
0.043,,1617,Low,Benin,,,1983,2359122303,0.043,15,,0.09,0.002,,57,53,0.008,0.454,0.517,0.029,6949366,0.383,Africa,77000000,50000000,12/1/2000
0.027,,4276,Friendly,Botswana,,,1836,5788311645,0.047,152,,0.054,0.029,0.155,52,49,0.127,0.383,0.587,0.029,1755375,0.532,Africa,227000000,209000000,12/1/2000
0.046,,1041,Low,Burkina Faso,,,,2610959139,0.051,12,,0.096,0.001,,52,49,0.002,0.468,0.505,0.028,11607944,0.178,Africa,23000000,30000000,12/1/2000
0.042,,301,Low,Burundi,,,,870486066,0.063,7,,0.092,0.001,0.158,49,47,0.002,0.49,0.481,0.029,6674286,0.082,Africa,1400000,14000000,12/1/2000
0.041,,3432,Low,Cameroon,,,6310,9287367569,0.044,26,,0.093,0.003,0.22,53,51,0.006,0.453,0.513,0.034,15927713,0.455,Africa,132000000,241000000,12/1/2000
0.039,,268,Low,Central African Republic,,,,914500332,0.043,11,,0.113,0.001,0.22,45,42,0.001,0.423,0.537,0.04,3638316,0.376,Africa,5000000,33000000,12/1/2000
0.051,,176,Low,Chad,,,,1385058212,0.063,10,,0.106,0,0.22,48,46,0.001,0.49,0.482,0.028,8301151,0.216,Africa,14000000,56000000,12/1/2000
0.039,,84,Low,Comoros,,,,201899884,0.035,13,,0.073,0.003,0.12,59,56,,0.415,0.554,0.031,528312,0.281,Africa,15000000,,12/1/2000
0.048,,1646,Low,"Congo (Kinshasa)",,,16679,19088046305,0.048,14,,0.115,0,,48,45,0,0.464,0.507,0.028,46949244,0.351,Africa,,,12/1/2000
0.039,,1049,Low,"Congo (Brazzaville)",,,814,3219910666,0.021,22,,0.077,0,0.22,53,51,0.022,0.419,0.545,0.036,3126204,0.587,Africa,12400000,59000000,12/1/2000
0.038,,6791,Low,Côte d'Ivoire,,,6734,10417060605,0.065,42,,0.1,0.002,,47,46,0.029,0.421,0.55,0.029,16131332,0.435,Africa,53000000,291000000,12/1/2000
0.03,,403,Low,Djibouti,,,,551230862,0.058,44,,0.08,0.002,,59,55,0,0.414,0.556,0.03,722887,0.765,Africa,8100000,14800000,12/1/2000
0.025,,141326,Moderate,"Egypt",,,40658,99838540997,0.054,79,,0.036,0.006,0.132,71,66,0.021,0.354,0.592,0.053,66136590,0.428,Africa,4657000000,1206000000,12/1/2000
0.04,,455,Low,Equatorial Guinea,,,,1045998534,0.024,57,,0.099,0.001,0.22,49,46,0.01,0.426,0.537,0.037,518179,0.388,Africa,5000000,19000000,12/1/2000
0.04,,609,Low,Eritrea,,,708,706370812,0.045,7,,0.058,0.001,,58,54,,0.47,0.512,0.018,3939348,0.176,Africa,36000000,,12/1/2000
0.044,,5831,Moderate,Ethiopia,,,25242,8091384891,0.043,5,,0.09,0,0.109,53,51,0,0.466,0.503,0.031,66024199,0.147,Africa,205000000,80000000,12/1/2000
0.034,,1052,Low,Gabon,,,1463,5067865503,0.029,118,,0.056,0.012,0.22,61,59,0.098,0.406,0.535,0.059,1225527,0.801,Africa,99000000,183000000,12/1/2000
0.045,,275,Low,"Gambia",,,,782913866,0.045,29,,0.063,0.009,0.24,56,54,0.005,0.459,0.514,0.027,1228863,0.479,Africa,,,12/1/2000
0.035,,6289,Friendly,Ghana,,,7736,4982849054,0.048,13,,0.065,0.002,,58,56,0.007,0.414,0.556,0.03,18825034,0.439,Africa,357000000,162000000,12/1/2000
0.042,,1280,Low,Guinea,,,,2995360969,0.056,19,,0.103,0.001,0.194,51,51,0.005,0.44,0.525,0.034,8746128,0.31,Africa,7800000,13000000,12/1/2000
0.042,,147,Low,Guinea-Bissau,,,,361858968,0.049,16,,0.109,0.002,,53,50,,0.435,0.534,0.031,1273312,0.367,Africa,,,12/1/2000
0.039,,10418,Moderate,Kenya,,,14055,12705350153,0.047,19,,0.069,0.003,0.223,54,52,0.004,0.442,0.531,0.028,31285050,0.199,Africa,500000000,156000000,12/1/2000
0.031,,,Moderate,Lesotho,,,,771200632,0.069,29,,0.081,0.002,0.171,48,47,0.012,0.412,0.543,0.045,1856225,0.195,Africa,18000000,195000000,12/1/2000
0.043,,436,Low,Liberia,,,,529064647,0.059,11,,0.119,0,0.205,53,52,0.001,0.432,0.537,0.031,2891968,0.443,Africa,,,12/1/2000
0.022,,47114,Low,Libya,,,15901,33896600871,0.034,252,,0.024,0.002,0.07,74,70,0.008,0.333,0.628,0.039,5176185,0.763,Africa,84000000,495000000,12/1/2000
0.041,,1874,Moderate,Madagascar,,,,3877673635,0.05,12,,0.071,0.002,0.265,60,57,0.004,0.455,0.515,0.03,15744811,0.271,Africa,152000000,139000000,12/1/2000
0.045,,906,Low,Malawi,,,,1743506287,0.061,9,,0.103,0.001,0.531,46,46,0.004,0.458,0.511,0.031,11321496,0.146,Africa,29000000,53000000,12/1/2000
0.048,,543,Low,Mali,,,,2422482318,0.063,16,,0.116,0.001,,49,49,0.001,0.461,0.504,0.035,10260577,0.284,Africa,47000000,66000000,12/1/2000
0.038,,1236,Low,Mauritania,,,,1293653473,0.06,24,,0.076,0.002,0.256,61,58,0.006,0.428,0.54,0.032,2708095,0.492,Africa,,,12/1/2000
0.017,,2769,Very Friendly,Mauritius,,,,4582562398,0.037,146,,0.016,0.073,0.208,75,68,0.152,0.258,0.681,0.061,1186873,0.427,Africa,732000000,203000000,12/1/2000
0.022,,33905,Friendly,Morocco,,,10238,37020609825,0.042,54,,0.043,0.007,0.133,70,67,0.082,0.341,0.613,0.047,28710123,0.533,Africa,2280000000,506000000,12/1/2000
0.044,,1349,Moderate,Mozambique,,,7173,4310090791,0.062,15,,0.114,0.001,0.19,49,46,0.003,0.438,0.53,0.032,18275618,0.291,Africa,74000000,122000000,12/1/2000
0.032,,1643,Friendly,Namibia,,,978,3908645566,0.061,126,,0.049,0.016,0.153,57,53,0.043,0.405,0.562,0.033,1897953,0.324,Africa,193000000,86000000,12/1/2000
0.053,,796,Low,Niger,,,,1798374533,0.064,10,,0.101,0,,51,51,0,0.479,0.495,0.025,10989815,0.162,Africa,23000000,32000000,12/1/2000
0.043,,79182,Moderate,Nigeria,,,90596,46385996027,0.046,17,,0.113,0.001,0.213,47,46,0,0.435,0.537,0.028,122876727,0.348,Africa,186000000,610000000,12/1/2000
