Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.025,0.719,,Low,Algeria,25,151,,2.04E+11,0.052,279,451,0.022,0.152,0.08,73,69,0.975,0.274,0.679,0.047,38481705,0.689,Africa,295000000,559000000,12/1/2012
0.045,0.521,,Low,Angola,66,178,,1.15E+11,0.035,190,282,0.104,0.169,0.167,53,50,0.614,0.476,0.5,0.024,20820525,0.417,Africa,711000000,292000000,12/1/2012
0.037,0.659,,Low,Benin,26,175,,7543183759,0.045,33,270,0.058,0.045,,61,58,0.837,0.43,0.542,0.029,10050702,0.427,Africa,192000000,,12/1/2012
0.024,0.254,,Friendly,Botswana,60,65,,14537490553,0.053,384,152,0.037,0.115,0.11,46,48,1.538,0.338,0.627,0.036,2003910,0.567,Africa,30000000,100000000,12/1/2012
0.041,0.435,,Low,Burkina Faso,13,154,,10726305450,0.062,38,270,0.066,0.037,,56,55,0.606,0.457,0.519,0.024,16460141,0.273,Africa,,,12/1/2012
0.045,0.516,,Low,Burundi,8,157,,2472384813,0.081,20,274,0.057,0.012,0.143,56,52,0.228,0.442,0.534,0.024,9849569,0.112,Africa,2700000,41000000,12/1/2012
0.038,0.488,,Low,Cameroon,15,162,,26472637887,0.051,59,654,0.062,0.057,,56,54,0.604,0.431,0.537,0.032,21699631,0.527,Africa,377000000,668000000,12/1/2012
0.034,0.674,,Low,Central African Republic,22,187,,2169706411,0.038,18,483,0.098,0.03,,51,48,0.253,0.401,0.561,0.039,4525209,0.393,Africa,,,12/1/2012
0.046,0.757,,Low,Chad,62,189,,12887072082,0.028,25,732,0.09,0.021,,52,50,0.354,0.485,0.49,0.024,12448175,0.221,Africa,,,12/1/2012
0.036,2.179,,Low,Comoros,20,160,,595898770,0.045,38,100,0.059,0.06,0.105,62,59,0.395,0.422,0.55,0.029,717503,0.28,Africa,,,12/1/2012
0.043,3.391,,Low,"Congo (Kinshasa)",58,183,,27452795398,0.056,15,336,0.088,0.017,0.284,51,48,0.306,0.451,0.52,0.028,65705093,0.41,Africa,6900000,108000000,12/1/2012
0.038,0.649,,Low,"Congo (Brazzaville)",161,186,,13677929162,0.032,100,606,0.037,0.061,,60,57,0.988,0.424,0.542,0.034,4337051,0.641,Africa,,,12/1/2012
0.037,0.394,,Low,Côte d'Ivoire,32,173,,24680372724,0.071,88,270,0.073,0.024,,51,50,0.912,0.415,0.554,0.031,19839750,0.52,Africa,,,12/1/2012
0.028,0.378,,Low,Djibouti,37,172,,1353632942,0.088,129,82,0.059,0.083,,63,60,0.247,0.337,0.624,0.039,859652,0.771,Africa,20500000,29600000,12/1/2012
0.024,0.426,,Moderate,"Egypt",8,127,,2.63E+11,0.05,152,392,0.019,0.44,0.12,73,69,1.199,0.312,0.631,0.056,80721874,0.43,Africa,10823000000,3037000000,12/1/2012
0.036,0.441,,Low,Equatorial Guinea,135,164,,16486743747,0.047,1138,492,0.071,0.139,,54,51,0.681,0.39,0.582,0.028,736296,0.395,Africa,,,12/1/2012
0.037,0.845,,Low,Eritrea,84,185,,3091967480,0.026,15,216,0.037,0.008,,65,60,0.05,0.431,0.547,0.022,6130922,0.214,Africa,,,12/1/2012
0.034,0.325,,Moderate,Ethiopia,15,124,,42805215879,0.038,18,306,0.046,0.015,,65,61,0.224,0.433,0.533,0.034,91728849,0.182,Africa,1980000000,181000000,12/1/2012
0.032,0.435,,Low,Gabon,57,169,,17843815459,0.035,397,488,0.04,0.086,,64,62,1.795,0.385,0.563,0.052,1632572,0.864,Africa,,,12/1/2012
0.043,2.832,,Low,"Gambia",27,148,,914109100,0.05,26,376,0.05,0.124,0.28,60,57,0.852,0.459,0.517,0.024,1791225,0.577,Africa,99000000,8000000,12/1/2012
0.031,0.334,,Friendly,Ghana,12,62,,41740897827,0.052,83,224,0.053,0.123,,62,60,1.01,0.386,0.579,0.035,25366462,0.521,Africa,1154000000,979000000,12/1/2012
0.037,0.912,,Low,Guinea,35,179,,5651088170,0.063,32,416,0.067,0.015,,57,55,0.488,0.425,0.544,0.031,11451273,0.357,Africa,1700000,41000000,12/1/2012
0.038,0.459,,Low,Guinea-Bissau,9,181,,822320638,0.059,30,208,0.08,0.029,,56,53,0.631,0.416,0.555,0.029,1663558,0.469,Africa,,,12/1/2012
0.036,0.442,,Moderate,Kenya,32,122,,40264403585,0.047,45,340,0.049,0.321,0.197,63,59,0.712,0.424,0.55,0.026,43178141,0.244,Africa,2004000000,174000000,12/1/2012
0.028,0.16,,Moderate,Lesotho,29,139,,2328196275,0.116,138,324,0.074,0.046,0.101,49,49,0.753,0.368,0.591,0.042,2051545,0.258,Africa,46000000,256000000,12/1/2012
0.036,0.266,,Low,Liberia,6,149,,1733828405,0.155,65,158,0.056,0.038,0.135,61,59,0.571,0.431,0.539,0.03,4190435,0.485,Africa,,,12/1/2012
0.021,0.316,,Low,Libya,35,188,,81873662519,0.039,578,889,0.013,,0.06,77,73,1.558,0.295,0.658,0.047,6154623,0.78,Africa,,2654000000,12/1/2012
0.035,0.364,,Moderate,Madagascar,8,144,,9880703883,0.041,18,201,0.041,0.021,0.6,66,63,0.394,0.427,0.545,0.028,22293914,0.332,Africa,,,12/1/2012
0.04,0.324,,Low,Malawi,40,161,,4240492849,0.092,25,175,0.046,0.044,0.323,55,55,0.292,0.454,0.514,0.031,15906483,0.158,Africa,38000000,101000000,12/1/2012
0.047,0.511,,Low,Mali,8,153,,10340794110,0.058,42,270,0.079,0.022,,54,55,0.984,0.471,0.5,0.028,14853572,0.376,Africa,,,12/1/2012
0.034,0.682,,Low,Mauritania,19,171,,3958701369,0.064,52,696,0.068,0.054,0.17,63,60,1.06,0.402,0.566,0.032,3796141,0.58,Africa,,,12/1/2012
0.011,0.275,,Very Friendly,Mauritius,6,20,,11442063228,0.048,444,161,0.013,0.354,0.087,77,70,1.199,0.202,0.715,0.084,1291167,0.402,Africa,1778000000,394000000,12/1/2012
0.023,0.496,,Friendly,Morocco,12,95,,95981572517,0.064,190,238,0.027,0.554,,72,69,1.2,0.278,0.672,0.05,32521143,0.587,Africa,8491000000,2095000000,12/1/2012
0.039,0.375,,Moderate,Mozambique,13,142,,14376457305,0.064,37,230,0.064,0.048,0.168,51,49,0.349,0.454,0.514,0.033,25203395,0.314,Africa,289000000,230000000,12/1/2012
0.026,0.218,,Friendly,Namibia,66,94,,13399386550,0.083,473,314,0.036,0.129,0.087,67,61,0.95,0.366,0.599,0.035,2259393,0.437,Africa,,,12/1/2012
0.05,0.438,,Low,Niger,17,174,,6773185511,0.072,25,270,0.062,0.014,,58,58,0.314,0.5,0.474,0.026,17157042,0.18,Africa,,,12/1/2012
