Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.019,,90854,Low,Algeria,,,28773,56760288962,0.037,65,,0.032,0.016,0.086,71,68,0.014,0.318,0.641,0.041,32572977,0.615,Africa,111000000,248000000,12/1/2002
0.05,,12666,Low,Angola,,,8304,12497346043,0.044,33,,0.126,0.003,0.973,48,45,0.009,0.477,0.499,0.025,14886574,0.339,Africa,51000000,52000000,12/1/2002
0.042,,2054,Low,Benin,,,2262,2807657386,0.043,16,,0.085,0.007,,58,54,0.03,0.451,0.52,0.028,7414744,0.39,Africa,95000000,49000000,12/1/2002
0.026,,4485,Friendly,Botswana,,,1916,5438856515,0.057,193,,0.054,0.034,0.162,49,48,0.184,0.372,0.598,0.03,1808976,0.544,Africa,324000000,197000000,12/1/2002
0.046,,1005,Low,Burkina Faso,,,,3205592273,0.05,13,,0.094,0.002,,52,50,0.009,0.467,0.507,0.027,12296399,0.193,Africa,37000000,36000000,12/1/2002
0.043,,220,Low,Burundi,,,,825394484,0.071,6,,0.086,0.001,0.195,50,48,0.007,0.476,0.495,0.028,7037727,0.087,Africa,1600000,14000000,12/1/2002
0.041,,3418,Low,Cameroon,,,6518,10879778328,0.048,31,,0.087,0.004,0.18,53,51,0.042,0.449,0.518,0.034,16782044,0.467,Africa,124000000,205000000,12/1/2002
0.039,,246,Low,Central African Republic,,,,991387865,0.042,11,,0.113,0.001,0.18,46,42,0.003,0.422,0.539,0.04,3767248,0.378,Africa,3000000,29000000,12/1/2002
0.051,,169,Low,Chad,,,,1987622269,0.08,18,,0.104,0.002,0.18,48,46,0.004,0.491,0.481,0.028,8959964,0.217,Africa,25000000,80000000,12/1/2002
0.039,,92,Low,Comoros,,,,251162421,0.034,15,,0.072,0.006,0.12,60,57,,0.413,0.556,0.031,556028,0.28,Africa,11000000,,12/1/2002
0.047,,1544,Low,"Congo (Kinshasa)",,,17841,8728037672,0.042,5,,0.113,0.001,,48,46,0.011,0.464,0.508,0.028,49516960,0.361,Africa,,,12/1/2002
0.039,,708,Low,"Congo (Brazzaville)",,,869,3019993723,0.025,23,,0.073,0.002,0.18,54,52,0.068,0.42,0.545,0.036,3283719,0.596,Africa,25600000,85000000,12/1/2002
0.038,,7286,Low,Côte d'Ivoire,,,6946,11486664265,0.047,33,,0.096,0.005,,47,46,0.062,0.422,0.549,0.029,16674987,0.449,Africa,56000000,490000000,12/1/2002
0.029,,400,Low,Djibouti,,,,591122040,0.054,42,,0.076,0.005,0.113,59,56,0.02,0.398,0.57,0.032,744434,0.766,Africa,8900000,7700000,12/1/2002
0.024,,127194,Moderate,"Egypt",,,47162,87850680573,0.061,74,,0.031,0.027,0.138,71,67,0.066,0.342,0.604,0.054,68302914,0.429,Africa,4133000000,1309000000,12/1/2002
0.039,,4980,Low,Equatorial Guinea,,,,1806742733,0.018,71,,0.094,0.003,0.18,49,47,0.058,0.419,0.546,0.035,551399,0.388,Africa,,,12/1/2002
0.04,,605,Low,Eritrea,,,748,729321364,0.04,6,,0.054,0.002,,59,55,,0.454,0.527,0.019,4281576,0.18,Africa,73000000,,12/1/2002
0.042,,4481,Moderate,Ethiopia,,,26867,7707034813,0.047,5,,0.083,0.001,0.087,55,53,0.001,0.465,0.504,0.031,69948344,0.151,Africa,261000000,55000000,12/1/2002
0.033,,1778,Low,Gabon,,,1583,4931503836,0.037,142,,0.054,0.019,0.18,61,58,0.217,0.402,0.54,0.058,1285318,0.816,Africa,77000000,234000000,12/1/2002
0.045,,315,Low,"Gambia",,,,578235310,0.038,17,,0.061,0.018,0.24,57,55,0.077,0.459,0.515,0.026,1306667,0.497,Africa,,,12/1/2002
