Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.019,,84293,Low,Algeria,,,27072,54744716706,0.038,65,,0.033,0.006,0.095,71,68,0.003,0.33,0.63,0.04,32150198,0.607,Africa,100000000,194000000,12/1/2001
0.05,,9732,Low,Angola,,,7883,8936079253,0.058,36,,0.127,0.001,0.96,47,45,0.005,0.477,0.499,0.025,14385283,0.332,Africa,35000000,80000000,12/1/2001
0.042,,1738,Low,Benin,,,2109,2499269391,0.047,16,,0.088,0.004,,57,54,0.017,0.453,0.518,0.029,7174911,0.387,Africa,86000000,48000000,12/1/2001
0.027,,4334,Friendly,Botswana,,,1868,5489646903,0.052,175,,0.054,0.034,0.158,51,48,0.186,0.377,0.593,0.03,1783349,0.541,Africa,235000000,215000000,12/1/2001
0.046,,997,Low,Burkina Faso,,,,2812845486,0.049,12,,0.095,0.002,,52,50,0.006,0.467,0.506,0.027,11946080,0.185,Africa,25000000,35000000,12/1/2001
0.042,,216,Low,Burundi,,,,876794723,0.068,7,,0.089,0.001,0.168,50,47,0.005,0.484,0.487,0.029,6839376,0.085,Africa,900000,12000000,12/1/2001
0.041,,3421,Low,Cameroon,,,6384,9633109257,0.047,27,,0.09,0.003,0.207,53,51,0.026,0.451,0.515,0.034,16350440,0.461,Africa,182000000,199000000,12/1/2001
0.039,,246,Low,Central African Republic,,,,931833294,0.04,10,,0.113,0.001,0.207,45,42,0.003,0.422,0.538,0.04,3704045,0.377,Africa,5000000,29000000,12/1/2001
0.051,,172,Low,Chad,,,,1709347777,0.06,12,,0.105,0,0.207,48,46,0.003,0.491,0.481,0.028,8620917,0.217,Africa,23000000,56000000,12/1/2001
0.039,,88,Low,Comoros,,,,220115655,0.028,11,,0.073,0.004,0.12,60,57,,0.414,0.555,0.031,541976,0.28,Africa,9000000,,12/1/2001
0.047,,1566,Low,"Congo (Kinshasa)",,,17242,7438189100,0.043,6,,0.114,0,,48,45,0.003,0.464,0.507,0.028,48167045,0.356,Africa,,,12/1/2001
0.039,,862,Low,"Congo (Brazzaville)",,,884,2794259756,0.024,21,,0.075,0,0.207,54,51,0.047,0.419,0.545,0.036,3205636,0.592,Africa,22600000,82000000,12/1/2001
0.038,,7726,Low,Côte d'Ivoire,,,6483,10545285037,0.052,34,,0.098,0.004,,47,46,0.044,0.421,0.55,0.029,16420173,0.442,Africa,58000000,289000000,12/1/2001
0.03,,385,Low,Djibouti,,,,572417441,0.054,41,,0.078,0.003,0.115,59,56,0.004,0.407,0.562,0.031,733732,0.766,Africa,8600000,12900000,12/1/2001
0.025,,125452,Moderate,"Egypt",,,45698,97632008051,0.058,76,,0.034,0.008,0.133,71,66,0.042,0.348,0.598,0.054,67204189,0.428,Africa,4119000000,1248000000,12/1/2001
0.039,,3095,Low,Equatorial Guinea,,,,1461139008,0.015,50,,0.096,0.002,0.207,49,47,0.028,0.423,0.541,0.036,534592,0.388,Africa,14000000,30000000,12/1/2001
0.04,,631,Low,Eritrea,,,742,752368494,0.039,7,,0.056,0.002,,59,54,,0.462,0.519,0.019,4101609,0.178,Africa,74000000,,12/1/2001
0.043,,4309,Moderate,Ethiopia,,,26171,8080496318,0.047,6,,0.087,0,0.109,54,52,0,0.466,0.504,0.031,67956866,0.149,Africa,218000000,50000000,12/1/2001
