Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.02,,89493,Low,Algeria,25,,30974,85324997370,0.035,90,,0.03,0.046,0.08,71,68,0.146,0.297,0.66,0.043,33461345,0.631,Africa,178000000,341000000,12/1/2004
0.05,,18793,Low,Angola,119,,9676,19640862550,0.051,63,,0.123,0.005,0.823,49,47,0.046,0.477,0.498,0.025,15976715,0.354,Africa,82000000,86000000,12/1/2004
0.041,,2512,Low,Benin,31,,2491,4050869968,0.046,23,,0.078,0.012,,58,55,0.058,0.447,0.525,0.028,7922796,0.396,Africa,121000000,59000000,12/1/2004
0.026,,4378,Friendly,Botswana,107,,1857,8957491785,0.049,268,,0.046,0.033,0.158,48,47,0.282,0.362,0.607,0.032,1854739,0.548,Africa,582000000,280000000,12/1/2004
0.045,,1104,Low,Burkina Faso,40,,,4838551014,0.061,24,,0.089,0.004,,53,51,0.03,0.466,0.508,0.026,13034258,0.208,Africa,52000000,67000000,12/1/2004
0.043,,198,Low,Burundi,13,,,915257323,0.097,9,,0.079,0.003,0.183,51,48,0.013,0.461,0.512,0.028,7510771,0.091,Africa,1800000,29000000,12/1/2004
0.041,,3957,Low,Cameroon,45,,6959,15775356737,0.046,41,,0.081,0.01,0.18,53,51,0.087,0.445,0.522,0.033,17674960,0.479,Africa,212000000,394000000,12/1/2004
0.038,,213,Low,Central African Republic,22,,,1270080228,0.041,14,,0.111,0.002,0.18,46,43,0.015,0.42,0.54,0.04,3893595,0.38,Africa,7800000,32000000,12/1/2004
0.05,,378,Low,Chad,64,,,4414929142,0.051,23,,0.102,0.004,0.18,48,47,0.013,0.492,0.481,0.027,9665024,0.218,Africa,,,12/1/2004
0.039,,103,Low,Comoros,,,34,362420484,0.04,25,,0.071,0.013,0.11,60,57,0.014,0.414,0.556,0.03,585389,0.279,Africa,21000000,9000000,12/1/2004
0.046,,1936,Low,"Congo (Kinshasa)",133,,19231,10297481118,0.054,7,,0.108,0.002,,49,46,0.038,0.463,0.509,0.028,52487293,0.37,Africa,,,12/1/2004
