Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.022,0.769,103963,Low,Algeria,25,,34658,1.17E+11,0.031,106,451,0.028,0.074,0.08,72,68,0.609,0.282,0.673,0.045,34507214,0.646,Africa,393000000,414000000,12/1/2006
0.049,0.521,22266,Low,Angola,119,,10006,41789494462,0.045,111,272,0.12,0.019,0.195,50,48,0.178,0.478,0.497,0.024,17122409,0.369,Africa,91000000,393000000,12/1/2006
0.04,0.757,3876,Low,Benin,31,,2949,4705087452,0.048,26,270,0.072,0.015,,59,56,0.125,0.443,0.529,0.028,8443671,0.403,Africa,122000000,71000000,12/1/2006
0.025,0.171,4646,Friendly,Botswana,107,,1956,10126990488,0.049,263,140,0.043,0.043,0.165,47,46,0.434,0.354,0.613,0.033,1895944,0.553,Africa,539000000,285000000,12/1/2006
0.044,0.476,1360,Low,Burkina Faso,34,,,5844669738,0.074,28,270,0.083,0.006,,54,52,0.074,0.464,0.51,0.025,13822257,0.223,Africa,55000000,84000000,12/1/2006
0.044,2.797,187,Low,Burundi,13,,,1273180655,0.116,18,140,0.072,0.007,0.171,52,49,0.025,0.449,0.524,0.027,8042579,0.096,Africa,1600000,126000000,12/1/2006
0.04,0.508,3828,Low,Cameroon,45,,6723,17953103009,0.048,46,654,0.076,0.02,0.153,53,51,0.168,0.441,0.526,0.033,18611937,0.491,Africa,231000000,521000000,12/1/2006
0.037,2.038,227,Low,Central African Republic,22,,,1473721521,0.04,15,504,0.109,0.003,0.153,47,44,0.027,0.417,0.544,0.04,4032102,0.382,Africa,10200000,47000000,12/1/2006
0.049,0.74,407,Low,Chad,64,,,7422102520,0.04,24,732,0.1,0.006,0.153,49,47,0.045,0.492,0.482,0.026,10356822,0.218,Africa,,,12/1/2006
0.039,2.179,121,Low,Comoros,22,,42,403179474,0.046,30,100,0.069,0.022,0.105,61,58,0.06,0.417,0.553,0.03,616526,0.279,Africa,27000000,11000000,12/1/2006
0.046,2.865,2417,Low,"Congo (Kinshasa)",133,,20715,14296505933,0.055,9,308,0.102,0.003,0.464,50,46,0.079,0.461,0.511,0.028,55590838,0.38,Africa,3100000,93000000,12/1/2006
